Date,Customer_ID,Product_Category,Product_Name,Quantity,Price,Delivery_Status,Review_Rating,Review_Text
25-01-2025,CUST2796,Home & Kitchen,Cookware Set,2,25574.41,Returned,1,Waste of money
28-08-2025,CUST9669,Beauty,Hair Dryer,1,19361.41,Returned,5,Excellent product!
27-02-2025,CUST5808,Electronics,Tablet,3,38476.22,Delivered,3,Fair deal
24-02-2025,CUST5889,Electronics,Headphones,5,38145.72,Delivered,5,Highly recommend!
15-06-2025,CUST9005,Clothing,Saree,5,45940.98,Delivered,5,Highly recommend!
10-02-2025,CUST2403,Home & Kitchen,Cookware Set,1,12195.41,Delivered,5,Fantastic quality!
16-05-2025,CUST9645,Clothing,Jeans,4,47353.06,Delivered,2,Poor packaging
13-08-2025,CUST9479,Clothing,Sneakers,4,49758.44,Delivered,3,Okay product
28-04-2025,CUST4608,Clothing,T-Shirt,3,1247.51,Delivered,5,Excellent product!
21-09-2025,CUST4899,Clothing,T-Shirt,1,43009.84,Returned,1,Terrible experience
23-10-2025,CUST8744,Clothing,Saree,2,36222.96,Pending,5,Worth every rupee!
05-08-2025,CUST7735,Clothing,T-Shirt,1,33017.34,Returned,3,Average
08-05-2025,CUST4139,Electronics,Smartphone,4,36465.04,Delivered,1,Terrible experience
08-02-2025,CUST8260,Clothing,Jacket,2,14071.55,Delivered,2,Poor packaging
04-09-2025,CUST4502,Electronics,Smartphone,2,8482.29,Delivered,4,Satisfied with the product
27-05-2025,CUST7930,Beauty,Face Cream,4,13407.11,Delivered,4,Satisfied with the product
01-02-2025,CUST6138,Home & Kitchen,Cookware Set,1,29043.18,Delivered,5,Fantastic quality!
11-02-2025,CUST4044,Beauty,Hair Dryer,5,8040.15,Returned,5,Excellent product!
07-05-2025,CUST1651,Clothing,Jacket,1,47091.49,Pending,5,Fantastic quality!
09-12-2025,CUST6147,Books,Comics,3,24848.92,Pending,2,Product not as expected
05-01-2025,CUST8508,Clothing,Sneakers,4,15945.62,Delivered,1,Never buying again
05-02-2025,CUST5002,Clothing,Saree,3,6796.34,Pending,3,Okay product
05-01-2025,CUST5905,Beauty,Hair Dryer,3,30661.55,Delivered,5,Highly recommend!
06-11-2025,CUST4450,Electronics,Smartphone,5,7941.31,Delivered,3,Could be better
17-02-2025,CUST7939,Books,Children's Book,3,45285.76,Delivered,1,Very bad product
10-10-2025,CUST8007,Unknown,Cookware Set,3,8246.78,Delivered,4,Good quality
10-10-2025,CUST3426,Clothing,Saree,1,41762.83,Delivered,5,Excellent product!
16-12-2025,CUST5088,Home & Kitchen,Vacuum Cleaner,1,24848.92,Pending,2,Poor packaging
25-03-2025,CUST3900,Beauty,Hair Dryer,2,46303.04,Delivered,3,Quality could improve
15-07-2025,CUST1634,Home & Kitchen,Air Fryer,2,13486.92,Delivered,1,Waste of money
25-04-2025,CUST1387,Beauty,Lipstick,3,41062.71,Pending,2,Disappointed
24-07-2025,CUST9785,Home & Kitchen,Mixer Grinder,3,17687.08,Delivered,5,Excellent product!
20-01-2025,CUST2776,Home & Kitchen,Cookware Set,5,48134.21,Delivered,3,Could be better
